candidate_id,metric_id,metric_layer,L1_RAW_FACT,L2_DERIVED_METRIC,L3_EXPERT_SCORE_RAW,L3_CAPPED_SCORE,L4_EVIDENCE_STATUS,score_cap,capped,source_ids
P-001,M01,PRODUCT_HARDWARE,"наблюдение показателя «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",6,4,OWNER_REPORTED,4,1,"SRC-P-001-01"
P-001,M02,PRODUCT_HARDWARE,"наблюдение показателя «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.12",6,4,OWNER_REPORTED,4,1,"SRC-P-001-01"
P-001,M03,PRODUCT_HARDWARE,"наблюдение показателя «Производительность гидравлической системы для работы с навесным оборудованием.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.18",6,4,OWNER_REPORTED,4,1,"SRC-P-001-01"
P-001,M04,PRODUCT_HARDWARE,"наблюдение показателя «Индекс экономичности расхода топлива на единицу произведенной работы.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.17",6,4,OWNER_REPORTED,4,1,"SRC-P-001-01"
P-001,M05,PRODUCT_HARDWARE,"наблюдение показателя «Оценка доступности и распространенности запасных частей для данной модели на рынке.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",6,4,OWNER_REPORTED,4,1,"SRC-P-001-01"
P-001,M06,SELLER_OFFER,"наблюдение показателя «Индекс полноты и продолжительности гарантийного обслуживания.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.13",10,4,OWNER_REPORTED,4,1,"SRC-P-001-01"
P-001,M07,SELLER_OFFER,"","",,,NOT_ESTABLISHED,,0,""
P-001,M08,PRODUCT_HARDWARE,"","",,,NOT_ESTABLISHED,,0,""
P-002,M01,PRODUCT_HARDWARE,"наблюдение показателя «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",6,4,OWNER_REPORTED,4,1,"SRC-P-002-01"
P-002,M02,PRODUCT_HARDWARE,"наблюдение показателя «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.12",6,4,OWNER_REPORTED,4,1,"SRC-P-002-01"
P-002,M03,PRODUCT_HARDWARE,"наблюдение показателя «Производительность гидравлической системы для работы с навесным оборудованием.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.18",6,4,OWNER_REPORTED,4,1,"SRC-P-002-01"
P-002,M04,PRODUCT_HARDWARE,"наблюдение показателя «Индекс экономичности расхода топлива на единицу произведенной работы.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.17",6,4,OWNER_REPORTED,4,1,"SRC-P-002-01"
P-002,M05,PRODUCT_HARDWARE,"наблюдение показателя «Оценка доступности и распространенности запасных частей для данной модели на рынке.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",6,4,OWNER_REPORTED,4,1,"SRC-P-002-01"
P-002,M06,SELLER_OFFER,"наблюдение показателя «Индекс полноты и продолжительности гарантийного обслуживания.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.13",10,4,OWNER_REPORTED,4,1,"SRC-P-002-01"
P-002,M07,SELLER_OFFER,"","",,,NOT_ESTABLISHED,,0,""
P-002,M08,PRODUCT_HARDWARE,"","",,,NOT_ESTABLISHED,,0,""
P-003,M01,PRODUCT_HARDWARE,"наблюдение показателя «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",6,4,OWNER_REPORTED,4,1,"SRC-P-003-01"
P-003,M02,PRODUCT_HARDWARE,"наблюдение показателя «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.12",6,4,OWNER_REPORTED,4,1,"SRC-P-003-01"
P-003,M03,PRODUCT_HARDWARE,"наблюдение показателя «Производительность гидравлической системы для работы с навесным оборудованием.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.18",6,4,OWNER_REPORTED,4,1,"SRC-P-003-01"
P-003,M04,PRODUCT_HARDWARE,"наблюдение показателя «Индекс экономичности расхода топлива на единицу произведенной работы.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.17",6,4,OWNER_REPORTED,4,1,"SRC-P-003-01"
P-003,M05,PRODUCT_HARDWARE,"наблюдение показателя «Оценка доступности и распространенности запасных частей для данной модели на рынке.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",6,4,OWNER_REPORTED,4,1,"SRC-P-003-01"
P-003,M06,SELLER_OFFER,"наблюдение показателя «Индекс полноты и продолжительности гарантийного обслуживания.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.13",10,4,OWNER_REPORTED,4,1,"SRC-P-003-01"
P-003,M07,SELLER_OFFER,"","",,,NOT_ESTABLISHED,,0,""
P-003,M08,PRODUCT_HARDWARE,"","",,,NOT_ESTABLISHED,,0,""
P-004,M01,PRODUCT_HARDWARE,"наблюдение показателя «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",10,4,OWNER_REPORTED,4,1,"SRC-P-004-01"
P-004,M02,PRODUCT_HARDWARE,"наблюдение показателя «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.12",10,4,OWNER_REPORTED,4,1,"SRC-P-004-01"
P-004,M03,PRODUCT_HARDWARE,"наблюдение показателя «Производительность гидравлической системы для работы с навесным оборудованием.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.18",10,4,OWNER_REPORTED,4,1,"SRC-P-004-01"
P-004,M04,PRODUCT_HARDWARE,"наблюдение показателя «Индекс экономичности расхода топлива на единицу произведенной работы.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.17",10,4,OWNER_REPORTED,4,1,"SRC-P-004-01"
P-004,M05,PRODUCT_HARDWARE,"наблюдение показателя «Оценка доступности и распространенности запасных частей для данной модели на рынке.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",10,4,OWNER_REPORTED,4,1,"SRC-P-004-01"
P-004,M06,SELLER_OFFER,"наблюдение показателя «Индекс полноты и продолжительности гарантийного обслуживания.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.13",10,4,OWNER_REPORTED,4,1,"SRC-P-004-01"
P-004,M07,SELLER_OFFER,"","",,,NOT_ESTABLISHED,,0,""
P-004,M08,PRODUCT_HARDWARE,"","",,,NOT_ESTABLISHED,,0,""
P-005,M01,PRODUCT_HARDWARE,"наблюдение показателя «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",10,4,OWNER_REPORTED,4,1,"SRC-P-005-01"
P-005,M02,PRODUCT_HARDWARE,"наблюдение показателя «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.12",10,4,OWNER_REPORTED,4,1,"SRC-P-005-01"
P-005,M03,PRODUCT_HARDWARE,"наблюдение показателя «Производительность гидравлической системы для работы с навесным оборудованием.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.18",10,4,OWNER_REPORTED,4,1,"SRC-P-005-01"
P-005,M04,PRODUCT_HARDWARE,"наблюдение показателя «Индекс экономичности расхода топлива на единицу произведенной работы.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.17",10,4,OWNER_REPORTED,4,1,"SRC-P-005-01"
P-005,M05,PRODUCT_HARDWARE,"наблюдение показателя «Оценка доступности и распространенности запасных частей для данной модели на рынке.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",10,4,OWNER_REPORTED,4,1,"SRC-P-005-01"
P-005,M06,SELLER_OFFER,"наблюдение показателя «Индекс полноты и продолжительности гарантийного обслуживания.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.13",10,4,OWNER_REPORTED,4,1,"SRC-P-005-01"
P-005,M07,SELLER_OFFER,"","",,,NOT_ESTABLISHED,,0,""
P-005,M08,PRODUCT_HARDWARE,"","",,,NOT_ESTABLISHED,,0,""
P-006,M01,PRODUCT_HARDWARE,"наблюдение показателя «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",8,4,OWNER_REPORTED,4,1,"SRC-P-006-01"
P-006,M02,PRODUCT_HARDWARE,"наблюдение показателя «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.12",8,4,OWNER_REPORTED,4,1,"SRC-P-006-01"
P-006,M03,PRODUCT_HARDWARE,"наблюдение показателя «Производительность гидравлической системы для работы с навесным оборудованием.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.18",8,4,OWNER_REPORTED,4,1,"SRC-P-006-01"
P-006,M04,PRODUCT_HARDWARE,"наблюдение показателя «Индекс экономичности расхода топлива на единицу произведенной работы.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.17",8,4,OWNER_REPORTED,4,1,"SRC-P-006-01"
P-006,M05,PRODUCT_HARDWARE,"наблюдение показателя «Оценка доступности и распространенности запасных частей для данной модели на рынке.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",8,4,OWNER_REPORTED,4,1,"SRC-P-006-01"
P-006,M06,SELLER_OFFER,"наблюдение показателя «Индекс полноты и продолжительности гарантийного обслуживания.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.13",10,4,OWNER_REPORTED,4,1,"SRC-P-006-01"
P-006,M07,SELLER_OFFER,"","",,,NOT_ESTABLISHED,,0,""
P-006,M08,PRODUCT_HARDWARE,"","",,,NOT_ESTABLISHED,,0,""
P-007,M01,PRODUCT_HARDWARE,"наблюдение показателя «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",10,4,OWNER_REPORTED,4,1,"SRC-P-007-01"
P-007,M02,PRODUCT_HARDWARE,"наблюдение показателя «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.12",10,4,OWNER_REPORTED,4,1,"SRC-P-007-01"
P-007,M03,PRODUCT_HARDWARE,"наблюдение показателя «Производительность гидравлической системы для работы с навесным оборудованием.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.18",10,4,OWNER_REPORTED,4,1,"SRC-P-007-01"
P-007,M04,PRODUCT_HARDWARE,"наблюдение показателя «Индекс экономичности расхода топлива на единицу произведенной работы.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.17",10,4,OWNER_REPORTED,4,1,"SRC-P-007-01"
P-007,M05,PRODUCT_HARDWARE,"наблюдение показателя «Оценка доступности и распространенности запасных частей для данной модели на рынке.» в датированном первичном источнике","нормировано по рубрике 0/2/4/6/8/10, вес 0.15",10,4,OWNER_REPORTED,4,1,"SRC-P-007-01"
