candidate_id,product_name,category,brand,price,unit,specs,product_url,supplier_name,supplier_site
P-001,"Минитракторы Xingtai","Минитракторы","XingTai","530000","шт","Модели: XT-240, XT-244; Мощность: 24 л.с.; Тип двигателя: дизельный четырехтактный; Количество цилиндров: 3; Привод: задний или полный; Объем топливного бака: 18 л","https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/","Купить минитрактор",https://kupit-minitraktor.ru
P-002,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1","Минитракторы","XingTai","530000","шт","Двигатель: KM385BT; Мощность: 24 л.с.; Количество цилиндров: 3; Передачи: (3 вперед + 1 назад) x 2; Сцепление: однодисковое; Частота вращения ВОМ: 540 об/мин; Задняя сцепка: трехточечная; Объем топливного бака: 18 л; Рулевое управление: с гидроусилителем; Запуск двигателя: электростартер; ПСМ: есть; Гарантия: 12 месяцев","https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/traktor-xingtai-sintay-240","Купить минитрактор",https://kupit-minitraktor.ru
P-003,"Минитрактор Xingtai / Синтай XT-244 с ПСМ КПП 3+1","Минитракторы","XingTai","600000","шт","Исполнение: Luxe Lite; Двигатель: KM385BT; Мощность: 24 л.с.; Количество цилиндров: 3; Передачи: 3 вперед, 1 назад; Сцепление: однодисковое; Привод: подключаемый полный; Частота вращения ВОМ: 540 об/мин; Задняя сцепка: трехточечная; Объем топливного бака: 18 л; Рулевое управление: с гидроусилителем; Рулевая колонка: регулировка наклона; Запуск двигателя: электростартер; ПСМ: есть; Гарантия: 12 месяцев","https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/minitraktor-xingtai-sintay-xt-244-luxe-lite","Купить минитрактор",https://kupit-minitraktor.ru
P-004,"Минитрактор Xingtai / Синтай XT-244 с ПСМ КПП 4+1","Минитракторы","XingTai","640000","шт","Исполнение: Generation 3 Luxe; Двигатель: KM385BT; Тип двигателя: дизельный; Мощность: 24 л.с.; Передачи: (4 вперед + 1 назад) x 2; Привод: полный 4WD; Блокировка: планетарный механизм заднего моста; Бортовые редукторы: есть; Рулевое управление: с гидроусилителем; Габариты: 2890 x 1530 x 1940 мм; Средний расход топлива: 2 л/ч; ПСМ: есть","https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/minitraktor-xingtai-sintay-xt-244-kpp-4h1-generation-3-luxe-s-psm","Купить минитрактор",https://kupit-minitraktor.ru
P-005,"Минитрактор Xingtai / Синтай 244L с ПСМ","Минитракторы","XingTai","690000","шт","Двигатель: KM385BT; Тип двигателя: дизельный; Мощность: 24 л.с.; Привод: полный 4WD; Блокировка: планетарный механизм заднего моста; Бортовые редукторы: есть; Рулевое управление: с гидроусилителем; Габариты: 2890 x 1530 x 1940 мм; Средний расход топлива: 2 л/ч; ПСМ: есть","https://kupit-minitraktor.ru/index.php?route=product/product&path=122_137&product_id=9571","Купить минитрактор",https://kupit-minitraktor.ru
P-006,"Минитрактор Xingtai / Синтай XT-254 Lux с ПСМ КПП 8+8","Минитракторы","XingTai","720000","шт","Двигатель: КМ385ВТ; Мощность: 25 л.с.; Количество цилиндров: 3; Передачи: 8 вперед, 8 назад; Сцепление: двухдисковое; Привод: подключаемый полный; Частота вращения ВОМ: 540 и 1000 об/мин; Количество шлицов ВОМ: 6; Задняя сцепка: трехточечная; Объем топливного бака: 22 л; Рулевое управление: с гидроусилителем; Запуск двигателя: электростартер; Масса прицепа: до 4 тонн; ПСМ: есть; Гарантия: 12 месяцев","https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/minitraktor-xingtai-sintay-rd-254","Купить минитрактор",https://kupit-minitraktor.ru
P-007,"Минитрактор Xingtai / Синтай XT-304 Lux с ПСМ КПП 8+8","Минитракторы","XingTai","750000","шт","КПП: 8+8; Привод: подключаемый полный; Частота вращения ВОМ: 540 и 1000 об/мин; Количество шлицов ВОМ: 6; Задняя сцепка: трехточечная; Объем топливного бака: 22 л; Рулевое управление: с гидроусилителем; Запуск двигателя: электростартер; Масса прицепа: до 4 тонн; ПСМ: есть; Гарантия: 12 месяцев","https://kupit-minitraktor.ru/index.php?route=product/product&path=122_137&product_id=9570","Купить минитрактор",https://kupit-minitraktor.ru
P-008,"Трактор Xingtai / Синтай XT-504C с кабиной","Тракторы и минитракторы","Xingtai","1450000","шт","Артикул: TR-02-0004; Двигатель: YD4100; Тип двигателя: дизельный; Мощность: 50 л.с.; Количество цилиндров: 4; Привод: полный 4x4; Кабина: есть; Масса: 1890 кг; КПП: усиленная механическая с боковым переключением; Сцепление: двухдисковое одноступенчатое сухое; Передние шины: 7,5-16; Задние шины: 11,2-28; Количество гидропар: 1; ЭПСМ: есть; Гарантия: 1 год","https://market-tractor.ru/product/traktor-xingtai-sintay-xt-504c-s-kabinoy","market-tractor.ru",
P-009,"Минитрактор Xingtai / Синтай XT-304","Тракторы и минитракторы","Xingtai","750000","шт","Артикул: TR-02-0017; Мощность: 30 л.с.; Тип двигателя: дизельный; Привод: полный 4x4; КПП: реверсивная; Кабина: отсутствует; Передние шины: 6,5-16; Задние шины: 11,2-24; Гидроусилитель руля: есть; ЭПСМ: есть; Гарантия: 1 год","https://market-tractor.ru/product/traktor-minitraktor-xingtai-sintay-xt-304","market-tractor.ru",
P-010,"Минитрактор Xingtai / Синтай XT-244 (8+8 реверс)","Тракторы и минитракторы","Xingtai","650000","шт","Артикул: TR-02-0016; Двигатель: KM385BT; Тип двигателя: дизельный; Мощность: 24 л.с.; Количество цилиндров: 3; Привод: полный 4x4; КПП: реверсивная; Передачи: 8 вперед, 8 назад; Частота вращения ВОМ: 540 и 720 об/мин; Блокировка дифференциала: принудительная блокировка планетарного механизма заднего моста; ЭПСМ: есть; Гарантия: 1 год","https://market-tractor.ru/product/traktor-minitraktor-xingtai-sintay-xt-244-44-revers","market-tractor.ru",
