candidate_id,website,metric_id,expert_score_raw,capped_score,decision_status,evidence_status,max_allowed_score,source_ids
P-001,kupit-minitraktor.ru,M01,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M02,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M03,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M04,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M05,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M06,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-001-01"
P-001,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-001,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-002,kupit-minitraktor.ru,M01,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M02,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M03,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M04,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M05,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M06,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-002-01"
P-002,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-002,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-003,kupit-minitraktor.ru,M01,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M02,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M03,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M04,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M05,6,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M06,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-003-01"
P-003,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-003,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-004,kupit-minitraktor.ru,M01,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M06,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-004-01"
P-004,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-004,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-005,kupit-minitraktor.ru,M01,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M06,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-005-01"
P-005,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-005,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-006,kupit-minitraktor.ru,M01,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M02,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M03,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M04,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M05,8,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M06,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-006-01"
P-006,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-006,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-007,kupit-minitraktor.ru,M01,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M06,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-007-01"
P-007,kupit-minitraktor.ru,M07,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-007,kupit-minitraktor.ru,M08,,,NOT_ESTABLISHED,NOT_ESTABLISHED,,""
P-008,kupit-minitraktor.ru,M01,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M02,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M03,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M04,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
P-008,kupit-minitraktor.ru,M05,10,4,ESTABLISHED_WITH_EVIDENCE,OWNER_REPORTED,4,"SRC-P-008-01"
