candidate_id,candidate_name,website,is_reference
P-001,"Минитракторы Xingtai",kupit-minitraktor.ru,1
P-002,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1",kupit-minitraktor.ru,1
P-003,"Минитрактор Xingtai / Синтай XT-244 с ПСМ КПП 3+1",kupit-minitraktor.ru,1
P-004,"Минитрактор Xingtai / Синтай XT-244 с ПСМ КПП 4+1",kupit-minitraktor.ru,1
P-005,"Минитрактор Xingtai / Синтай 244L с ПСМ",kupit-minitraktor.ru,1
P-006,"Минитрактор Xingtai / Синтай XT-254 Lux с ПСМ КПП 8+8",kupit-minitraktor.ru,1
P-007,"Минитрактор Xingtai / Синтай XT-304 Lux с ПСМ КПП 8+8",kupit-minitraktor.ru,1
P-008,"Трактор Xingtai / Синтай XT-504C с кабиной",kupit-minitraktor.ru,0
P-009,"Минитрактор Xingtai / Синтай XT-304",kupit-minitraktor.ru,0
P-010,"Минитрактор Xingtai / Синтай XT-244 (8+8 реверс)",kupit-minitraktor.ru,0
