fact_id,candidate_id,subject_entity,metric_id,metric,value,source_id,source_date,confidence,allowed_wording,prohibited_extension
F-0001,P-001,"Минитракторы Xingtai",M01,Engine_Power_to_Weight_Ratio,4,"SRC-P-001-01",2026-09-21,OWNER_REPORTED,"Минитракторы Xingtai: демонстрирует низкий уровень по показателю «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0002,P-001,"Минитракторы Xingtai",M02,PTO_Efficiency_Index,4,"SRC-P-001-01",2026-09-21,OWNER_REPORTED,"Минитракторы Xingtai: демонстрирует низкий уровень по показателю «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0003,P-001,"Минитракторы Xingtai",M03,Hydraulic_System_Capacity_Score,4,"SRC-P-001-01",2026-09-21,OWNER_REPORTED,"Минитракторы Xingtai: демонстрирует низкий уровень по показателю «Производительность гидравлической системы для работы с навесным оборудованием.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0004,P-001,"Минитракторы Xingtai",M04,Fuel_Consumption_Efficiency_Index,4,"SRC-P-001-01",2026-09-21,OWNER_REPORTED,"Минитракторы Xingtai: демонстрирует низкий уровень по показателю «Индекс экономичности расхода топлива на единицу произведенной работы.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0005,P-001,"Минитракторы Xingtai",M05,Spare_Parts_Availability_Score,4,"SRC-P-001-01",2026-09-21,OWNER_REPORTED,"Минитракторы Xingtai: демонстрирует низкий уровень по показателю «Оценка доступности и распространенности запасных частей для данной модели на рынке.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0006,P-001,"Минитракторы Xingtai",M06,Warranty_Coverage_Index,4,"SRC-P-001-01",2026-09-21,OWNER_REPORTED,"Минитракторы Xingtai: демонстрирует низкий уровень по показателю «Индекс полноты и продолжительности гарантийного обслуживания.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0007,P-002,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1",M01,Engine_Power_to_Weight_Ratio,4,"SRC-P-002-01",2026-09-21,OWNER_REPORTED,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1: демонстрирует низкий уровень по показателю «Соотношение мощности двигателя к общей массе минитрактора, влияющее на тяговое усилие и производительность.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0008,P-002,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1",M02,PTO_Efficiency_Index,4,"SRC-P-002-01",2026-09-21,OWNER_REPORTED,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1: демонстрирует низкий уровень по показателю «Эффективность работы вала отбора мощности, критичная для агрегатирования навесного оборудования.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0009,P-002,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1",M03,Hydraulic_System_Capacity_Score,4,"SRC-P-002-01",2026-09-21,OWNER_REPORTED,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1: демонстрирует низкий уровень по показателю «Производительность гидравлической системы для работы с навесным оборудованием.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
F-0010,P-002,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1",M04,Fuel_Consumption_Efficiency_Index,4,"SRC-P-002-01",2026-09-21,OWNER_REPORTED,"Минитрактор Xingtai / Синтай XT-240 с ПСМ КПП 3+1: демонстрирует низкий уровень по показателю «Индекс экономичности расхода топлива на единицу произведенной работы.» (оценка 4/10 по зафиксированной рубрике)","нельзя переносить оценку на другие метрики, периоды и компании группы"
